"PaperID","Title","Authors","Abstract","SubmissionDate","OriginallyAnnounced","DOI"
"arXiv:2501.01043","Higher serum 25(OH)D concentration is associated with lower risk of metabolic syndrome among Aboriginal and Torres Strait Islander peoples in Australia","Belinda Neo (1), Dale Tilbrook (2), Noel Nannup (3), John Jacky (3), Carol Michie (3), Cindy Prior (3), Eleanor Dunlop (4,5), Brad Farrant (3), Won Sun Chen (1), Carrington C.J. Shepherd (1,3,6), Lucinda J. Black (4,5). ((1) Curtin Medical School, Curtin University, Bentley, Western Australia, Australia, (2) Maalingup Aboriginal Gallery, Caversham, Western Australia, Australia, (3) The Kids Research Institute Australia, The University of Western Australia, Nedlands, Western Australia, Australia, (4) Curtin School of Population Health, Curtin University, Bentley, Western Australia, Australia, (5) Institute for Physical Activity and Nutrition (IPAN), School of Exercise and Nutrition Sciences, Deakin University, Geelong, Victoria, Australia, (6) Ngangk Yira Institute, Murdoch University, Murdoch, Western Australia, Australia.)","Although previous observational studies have shown associations between serum 25-hydroxyvitamin D (25(OH)D) concentration and metabolic syndrome, this association has not yet been investigated among Aboriginal and Torres Strait Islander peoples. We aimed to investigate the association between serum 25(OH)D concentration and metabolic syndrome and its risk factors in this population group. We used cross-sectional data from the 2012-2013 Australian Aboriginal and Torres Strait Islander Health Survey. Metabolic syndrome is defined as having 3 or more risk factors: elevated waist circumference, elevated triglycerides, low high-density lipoprotein (HDL) cholesterol, elevated blood pressure, or elevated fasting blood glucose. We used binomial logistic regression to test associations between serum 25(OH)D concentration and metabolic syndrome, and multiple linear regression to test associations between serum 25(OH)D concentration and each risk factor. We included the following covariates: age, sex, smoking status, education level, socio-economic status, remoteness of location, season, and body mass index (BMI). After adjusting for covariates, we found that each 10 nmol/L increase in serum 25(OH)D concentration was statistically significantly associated with a 16% lower risk of metabolic syndrome (odds ratio: 0.84, 95% confidence interval: 0.76, 0.92) and a 2.1 cm (95% confidence interval: 1.65, 2.57) lower waist circumference (BMI was not included in the model for waist circumference). We found small inverse associations between serum 25(OH)D concentration and all other risk factors except systolic blood pressure. Given that higher serum 25(OH)D concentration may confer metabolic health benefits, promoting vitamin D sufficiency may be beneficial for this population.",2025-01-02,2025-01-02,"https://doi.org/10.48550/arXiv:2501.01043"
"arXiv:2501.01198","Quality of life and perceived care of patients in advanced chronic kidney disease consultations: a cross-sectional descriptive study","V Gimeno Hernan, I Duran-Muños, MR Del Pino- Jurado, A Faraldo-Cabana, M Oliva-Hernando, I Ortuño-Sorinao","Objetive: In the care of renal patients, prioritising their quality of life and nursing care is essential. Research links patients' perceptions of care quality to improved outcomes such as safety, clinical efficacy, treatment adherence, and preventive practices. This study aimed to evaluate the quality of life and care perception in these patients and explore potential associations between these dimensions. Material and methods: A cross-sectional descriptive study was conducted with 43 patients attending an advanced CKD clinic. Quality of life was assessed using the KDQOL-36 questionnaire, while the IECPAX questionnaire measured perceived care quality. Sociodemographic and clinical data were collected from patient records. Participants completed the questionnaires during routine visits, with scores analysed to identify associations between variables. Results: The study included 60% men (n=28) and 32% women (n=15), with a mean age of 78 years . Among participants, 45% were diabetic, 79% hypertensive, and 58% took more than five medications daily. Mean scores were 78.76 for KDQOL-36 and 5.54 for IECPAX. Significant differences were found in the physical role domain between men and women (p=0.01) and for individuals over 65 years (p=0.04). Higher IECPAX scores were associated with taking more than five medications (p=0.05). However, no correlation was observed between KDQOL-36 and IECPAX scores. Conclusions: The findings suggest that quality of life and perceived care quality are independent in advanced CKD patients. While this study provides insights, larger multicentre studies are needed to validate these results. These findings highlight the importance of addressing both aspects separately to improve outcomes in this population.",2025-01-02,2025-01-02,"https://doi.org/10.48550/arXiv:2501.01198"
"arXiv:2501.01283","A Systematic Computational Framework for Practical Identifiability Analysis in Mathematical Models Arising from Biology","Shun Wang, Wenrui Hao","Practical identifiability is a critical concern in data-driven modeling of mathematical systems. In this paper, we propose a novel framework for practical identifiability analysis to evaluate parameter identifiability in mathematical models of biological systems. Starting with a rigorous mathematical definition of practical identifiability, we demonstrate its equivalence to the invertibility of the Fisher Information Matrix. Our framework establishes the relationship between practical identifiability and coordinate identifiability, introducing a novel metric that simplifies and accelerates the evaluation of parameter identifiability compared to the profile likelihood method. Additionally, we introduce new regularization terms to address non-identifiable parameters, enabling uncertainty quantification and improving model reliability. To guide experimental design, we present an optimal data collection algorithm that ensures all model parameters are practically identifiable. Applications to Hill functions, neural networks, and dynamic biological models demonstrate the feasibility and efficiency of the proposed computational framework in uncovering critical biological processes and identifying key observable variables.",2025-06-16,2025-01-02,"https://doi.org/10.48550/arXiv:2501.01283"
"arXiv:2501.01454","A Fourfold Pathogen Reference Ontology Suite","Shane Babcock, Carter Benson, Giacomo De Colle, Sydney Cohen, Alexander D. Diehl, Ram A.N.R. Challa, Ray Mavrovich, Joshua Billig, Anthony Huffman, Yongqun He, John Beverley","Infectious diseases remain a critical global health challenge, and the integration of standardized ontologies plays a vital role in managing related data. The Infectious Disease Ontology (IDO) and its extensions, such as the Coronavirus Infectious Disease Ontology (CIDO), are essential for organizing and disseminating information related to infectious diseases. The COVID-19 pandemic highlighted the need for updating IDO and its virus-specific extensions. There is an additional need to update IDO extensions specific to bacteria, fungus, and parasite infectious diseases. We adopt the ""hub and spoke"" methodology to generate pathogen-specific extensions of IDO: Virus Infectious Disease Ontology (VIDO), Bacteria Infectious Disease Ontology (BIDO), Mycosis Infectious Disease Ontology (MIDO), and Parasite Infectious Disease Ontology (PIDO). The creation of pathogen-specific reference ontologies advances modularization and reusability of infectious disease data within the IDO ecosystem. Future work will focus on further refining these ontologies, creating new extensions, and developing application ontologies based on them, in line with ongoing efforts to standardize biological and biomedical terminologies for improved data sharing and analysis.",2025-04-24,2024-12-31,"https://doi.org/10.48550/arXiv:2501.01454"
"arXiv:2501.01477","A Survey of Deep Learning Methods in Protein Bioinformatics and its Impact on Protein Design","Weihang Dai","Proteins are sequences of amino acids that serve as the basic building blocks of living organisms. Despite rapidly growing databases documenting structural and functional information for various protein sequences, our understanding of proteins remains limited because of the large possible sequence space and the complex inter- and intra-molecular forces. Deep learning, which is characterized by its ability to learn relevant features directly from large datasets, has demonstrated remarkable performance in fields such as computer vision and natural language processing. It has also been increasingly applied in recent years to the data-rich domain of protein sequences with great success, most notably with Alphafold2's breakout performance in the protein structure prediction. The performance improvements achieved by deep learning unlocks new possibilities in the field of protein bioinformatics, including protein design, one of the most difficult but useful tasks. In this paper, we broadly categorize problems in protein bioinformatics into three main categories: 1) structural prediction, 2) functional prediction, and 3) protein design, and review the progress achieved from using deep learning methodologies in each of them. We expand on the main challenges of the protein design problem and highlight how advances in structural and functional prediction have directly contributed to design tasks. Finally, we conclude by identifying important topics and future research directions.",2025-01-02,2025-01-02,"https://doi.org/10.48550/arXiv:2501.01477"
"arXiv:2501.01687","Innate behavioural mechanisms and defensive traits in ecological models of predator-prey types","Sangeeta Saha, Swadesh Pal, Roderick Melnik","There are various examples of phenotypic plasticity in ecosystems that serve as the basis for a wide range of inducible defences against predation. These strategies include camouflage, burrowing, mimicry, evasive actions, and even counterattacks that enhance survival under fluctuating predatory threats. Additionally, the ability to exhibit plastic responses often influences ecological balances, shaping predator-prey coexistence over time. This study introduces a predator-prey model where prey species show inducible defences, providing new insights into the role of adaptive strategies in these complex interactions. The stabilizing impact of the defensive mechanism is one of several intriguing outcomes produced by the dynamics. Moreover, the predator population rises when the interference rate increases to a moderate value even in the presence of lower prey defence but decreases monotonically for stronger defence levels. Furthermore, we identify a bistable domain when the handling rate is used as a control parameter, emphasizing the critical role of initial population sizes in determining system outcomes. By considering the species diffusion in a bounded region, the study is expanded into a spatio-temporal model. The numerical simulation reveals that the Turing domain decreases as the level of protection increases. The study is subsequently extended to incorporate taxis, known as the directed movement of species toward or away from another species. Our investigation identifies the conditions under which pattern formation emerges, driven by the interplay of inducible defences, taxis as well as species diffusion. Numerical simulations demonstrate that including taxis within the spatio-temporal model exerts a stabilizing influence, thereby diminishing the potential for pattern formation in the system.",2025-01-03,2025-01-03,"https://doi.org/10.48550/arXiv:2501.01687"
"arXiv:2501.01768","Remodeling Peptide-MHC-TCR Triad Binding as Sequence Fusion for Immunogenicity Prediction","Jiahao Ma, Hongzong Li, Jian-Dong Huang, Ye-Fan Hu, Yifan Chen","The complex nature of tripartite peptide-MHC-TCR interactions is a critical yet underexplored area in immunogenicity prediction. Traditional studies on TCR-antigen binding have not fully addressed the complex dependencies in triad binding. In this paper, we propose new modeling approaches for these tripartite interactions, utilizing sequence information from MHCs, peptides, and TCRs. Our methods adhere to native sequence forms and align with biological processes to enhance prediction accuracy. By incorporating representation learning techniques, we introduce a fusion mechanism to integrate the three sequences effectively. Empirical experiments show that our models outperform traditional methods, achieving a 2.8 to 13.3 percent improvement in prediction accuracy across existing benchmarks. We further validate our approach with extensive ablation studies, demonstrating the effectiveness of the proposed model components. The model implementation, code, and supplementary materials, including a manuscript with colored hyperlinks and a technical appendix for digital viewing, will be open-sourced upon publication.",2025-01-03,2025-01-03,"https://doi.org/10.48550/arXiv:2501.01768"
"arXiv:2501.01809","Estimating invasive rodent abundance using removal data and hierarchical models","Olivier Gimenez","Invasive rodents pose significant ecological, economic, and public health challenges. Robust methods are needed for estimating population abundance to guide effective management. Traditional methods such as capture-recapture are often impractical for invasive species due to ethical, legal and logistical constraints. Here, I showcase the application of hierarchical multinomial N-mixture models for estimating the abundance of invasive rodents using removal data. First, I perform a simulation study which demonstrates minimal bias, as well as good precision and reliable coverage of confidence intervals across a range of sampling scenarios. I also illustrate the consequences of violating the population closure assumption, showing how between-occasion dynamics can bias inference. Second, I analyze removal data for two invasive rodent species, namely coypus (Myocastor coypus) in France and muskrats (Ondatra zibethicus) in the Netherlands. Using hierarchical multinomial N-mixture models, I examine the effects of temperature on abundance while accounting for imperfect and time-varying capture probabilities. I also show how to accommodate spatial variability using random effects, quantify uncertainty in parameter estimates, and account for violations of closure by fitting an open-population model to multi-year data. Overall, I hope to demonstrate the flexibility and utility of hierarchical models in invasive species management.",2025-04-19,2025-01-03,"https://doi.org/10.48550/arXiv:2501.01809"
"arXiv:2501.01939","Slow spatial migration can help eradicate cooperative antimicrobial resistance in time-varying environments","Lluís Hernández-Navarro, Kenneth Distefano, Uwe C. Täuber, Mauro Mobilia","Antimicrobial resistance (AMR) is a global threat and combating its spread is of paramount importance. AMR often results from a cooperative behaviour with shared protection against drugs. Microbial communities generally evolve in volatile environments and spatial structures. Migration, fluctuations, and environmental variability thus have significant impacts on AMR, whose maintenance in static environments is generally promoted by migration. Here, we demonstrate that this picture changes dramatically in time-fluctuating spatially structured environments. To this end, we consider a two-dimensional metapopulation model consisting of demes in which drug-resistant and sensitive cells evolve in a time-changing environment in the presence of a toxin against which protection can be shared. Cells migrate between neighbouring demes and hence connect them. When the environment varies neither too quickly nor too slowly, the dynamics is characterised by bottlenecks causing fluctuation-driven local extinctions, a mechanism countered by migration that rescues AMR. Through simulations and mathematical analysis, we investigate how migration and environmental variability influence the probability of resistance eradication. We determine the near-optimal conditions for the fluctuation-driven AMR eradication, and show that slow but non-zero migration speeds up the clearance of resistance and can enhance its eradication probability. We discuss our study's impact on laboratory-controlled experiments.",2025-01-03,2025-01-03,"https://doi.org/10.48550/arXiv:2501.01939"
"arXiv:2501.01964","Gain modulation of actions selection without synaptic relearning","Elif Köksal-Ersöz (COPHY), Pascal Chossat (MATHNEURO, LJAD), Frédéric Lavigne (BCL)","Adaptation of behavior requires the brain to change goals in a changing environment. Synaptic learning has demonstrated its effectiveness in changing the probability of selecting actions based on their outcome. In the extreme case, it is vital not to repeat an action to a given goal that led to harmful punishment. The present model proposes a simple neural mechanism of gain modulation that makes possible immediate changes in the probability of selecting a goal after punishment of variable intensity. Results show how gain modulation determine the type of elementary navigation process within the state space of a network of neuronal populations of excitatory neurons regulated by inhibition. Immediately after punishment, the system can avoid the punished populations by going back or by jumping to unpunished populations. This does not require particular credit assignment at the `choice' population but only gain modulation of neurons active at the time of punishment. Gain modulation does not require statistical relearning that may lead to further errors, but can encode memories of past experiences without modification of synaptic efficacies. Therefore, gain modulation can complements synaptic plasticity.",2024-12-18,2024-12-18,"https://doi.org/10.48550/arXiv:2501.01964"
"arXiv:2501.01966","The impact of motor and non-motor symptoms fluctuations on health-related quality of life in people with functional motor disorder","Martin Jirásek (1,2), Tomáš Sieger (1,3), Gabriela Chaloupková (1), Lucia Nováková (1), Petr Sojka (1), Mark J Edwards (4), Tereza Serranová (1) ((1) Department of Neurology and Center of Clinical Neuroscience, First Faculty of Medicine, Charles University and General University Hospital in Prague, Prague/Czech Republic, (2) Department of Rehabilitation and Sports Medicine, Second Faculty of Medicine, Charles University and University Hospital Motol, Prague/Czech Republic, (3) Department of Cybernetics, Faculty of Electrical Engineering, Czech Technical University, Prague/Czech Republic, (4) King's College London, Institute of Psychiatry, Psychology &amp; Neuroscience, Department of Basic &amp; Clinical Neuroscience, London/United Kingdom)","Objective: To assess the effect of overall, between- and within-day subjectively rated fluctuations in motor and non-motor symptoms in people with functional motor disorder (FMD) on the health-related quality of life (HRQoL). Background: FMD is a complex condition characterized by fluctuating motor and non-motor symptoms that may negatively impact HRQoL. Methods: Seventy-seven patients (54 females, mean age 45.4 (SD 10.4) years) with a clinically established diagnosis of FMD, including weakness, completed symptom diaries, rating the severity of motor and non-motor symptoms (i.e., pain, fatigue, mood, cognitive difficulties) on a 10-point numerical scale three times daily for seven consecutive days. HRQoL was assessed using the SF-36 questionnaire. For the analysis, fluctuation magnitude was defined in terms of the variability in self-reported symptom scores. Results: The mental component of SF-36 was jointly predicted by the overall severity scores (t(74) = -3.61, P < 0.001) and overall general fluctuations (t(74) = -2.98, P = 0.004). The physical SF-36 was found to be related only to the overall symptom severity scores (t(74) = -7.09, P < 0.001), but not to the overall fluctuations. The assessment of the impact of different components showed that the mental component of SF-36 was significantly influenced by the combined effect of average fatigue (t(73) = -3.86, P < 0.001), between-day cognitive symptoms fluctuations (t(73) = -3.22, P = 0.002), and within-day mood fluctuations (t(73) = -2.48, P = 0.015). Conclusions: This study demonstrated the impact of self-reported symptom fluctuations across multiple motor and non-motor domains on mental but not physical HRQoL in FMD and highlighted the importance of assessing and managing fluctuations in clinical practice.",2025-03-15,2024-12-18,"https://doi.org/10.48550/arXiv:2501.01966"
"arXiv:2501.02028","Selecting ChIP-seq Normalization Methods from the Perspective of their Technical Conditions","Sara Colando, Danae Schulz, Johanna Hardin","Chromatin immunoprecipitation with high-throughput sequencing (ChIP-seq) provides insights into both the genomic location occupied by the protein of interest and the difference in DNA occupancy between experimental states. Given that ChIP-seq data is collected experimentally, an important step for determining regions with differential DNA occupancy between states is between-sample normalization. While between-sample normalization is crucial for downstream differential binding analysis, the technical conditions underlying between-sample normalization methods have yet to be examined for ChIP-seq. We identify three important technical conditions underlying ChIP-seq between-sample normalization methods: balanced differential DNA occupancy, equal total DNA occupancy, and equal background binding across states. To illustrate satisfying the selected normalization method's technical conditions for downstream differential binding analysis, we simulate ChIP-seq read count data where different combinations of the technical conditions are violated. We then externally verify our simulation results using experimental data. Based on our findings, we suggest that researchers use their understanding of the ChIP-seq experiment at hand to guide their choice of between-sample normalization method. Alternatively, researchers can use a high-confidence peakset, which is the intersection of the differentially bound peaksets obtained from using different between-sample normalization methods. In our two experimental analyses, roughly half of the called peaks were called as differentially bound for every normalization method. High-confidence peaks are less sensitive to choice of between-sample normalization method and could be a more robust basis for identifying genomic regions with differential DNA occupancy between experimental states when there is uncertainty about which technical conditions are satisfied.",2025-06-11,2025-01-03,"https://doi.org/10.48550/arXiv:2501.02028"
"arXiv:2501.02033","Inferring and predicting Fried physical frailty phenotype deficits","Glen Pridham, Kenneth Rockwood, Andrew Rutenberg","We predict the Fried physical frailty phenotype health deficits (FPFP5: slow gait, weakness, weight loss, low activity, and exhaustion) using two measures of frailty: frailty index (FI) or frailty phenotype (FP). The FP theorizes that the FPFP5 are mutually dependent through shared etiology and positive feedbacks, so that the total number of FPFP5 deficits (NFPFP5) should be highly predictive of existing deficits. Alternatively, the FI theorizes that strong mutual dependencies exist between \emph{all} age-related health deficits, so that the FI would be more predictive. We investigated predictive models of FPFP5 using FI or NFPFP5 in the Health and Retirement Study (HRS), the English Longitudinal Study of Aging (ELSA), and the National Health and Nutrition Examination Survey (NHANES). We find that the FI, chronological age, and current deficit state are all important predictors of future FPFP5 deficits. Notably, the FI consistently out-performed NFPFP5, raising questions regarding FPFP5 causal connections and how best to measure the physical component of frailty. We discuss implications for both FPFP5 forecasting, and inference when data are missing or incomplete.",2025-01-03,2025-01-03,"https://doi.org/10.48550/arXiv:2501.02033"
